"time","T0","T1","T2","T3","T4","T5","T6","T7","H0","H1","H2","H3","H4","H5","H6","H7","S0","S1","S2","S3","S4","S5","S6","S7","P","G","Ta","Wd","Ws","HT0","HT1","HT2","HT3","HT4","HT5","HT6","HT7","HRelH0","HRelH1","HRelH2","HRelH3","HRelH4","HRelH5","HRelH6","HRelH7","HI0","HI1","HI2","HI3","HI4","HI5","HI6","HI7","HCo2_0","HCo2_1","HCo2_2","HCo2_3","HCo2_4","HCo2_5","HCo2_6","HCo2_7"
2009-02-17 00:43:45,19.64441,19.838246875,19.6685354838710,19.7647,19.451,19.6410818181818,19.9216,19.82223,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,-0.00189346344827586,-4.50490275862069,60.0137413793104,1.44518396551724,19.793,20.591,18.3545,20.1385,19.829,18.093,21.461,19.5435,26.5605,24.5095,29.7245,27.9875,28.299,28.4785,24.6785,29.1035,19.7,19.7,39.45,27.6,31.55,27.6,43.4,35.5,1345,1321,1338.875,1345.625,1347.375,1314.75,1346.125,1348
2009-02-17 00:48:45,19.6601,19.8978272727273,19.80131,19.8456806451613,19.451,19.7551909090909,20.0343,19.9216,1,1,1,1,1,1,0.3,1,0,0,0,0,0,0,0,0,,-0.001830348,-4.52687766666667,62.7790866666667,1.76943666666667,19.8645,20.567,18.6875,20.2815,19.936,18.1405,21.533,19.722,26.495,24.526,29.402,27.857,28.1835,28.359,24.5935,28.924,27.6,15.75,43.4,27.6,27.6,23.65,31.55,23.65,1332.625,1319.75,1314.125,1356.75,1346.75,1339.5,1346.75,1348
2009-02-17 00:53:45,19.7647,19.9902,19.9671225806452,19.9216,19.4942551724138,19.7599454545455,20.0147,20.0682838709677,1,0.6,0.7,1,1,1,0.3,0.2,0,0,0,0,0,0,0,0,,-0.001900746,-4.588929,77.99167,1.29368103333333,19.9835,20.6505,19.02,20.4125,20.0075,18.176,21.5925,19.8765,26.3435,24.4595,29.114,27.7435,28.101,28.292,24.5255,28.743,23.65,19.7,31.55,27.6,19.7,23.65,35.5,27.6,1332.625,1309.375,1313.5,1344.375,1346.75,1314.75,1370.25,1348
2009-02-17 00:58:45,19.84838,20.0784,20.15162,19.9216,19.6025733333333,19.7647,19.89218125,20.23007,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,,-0.001971144,-4.68302166666667,65.1435566666667,1.4150612,20.1145,20.746,19.2935,20.543,20.1025,18.2,21.485,19.924,26.211,24.376,28.8725,27.6295,27.9845,28.2585,24.536,28.6585,23.65,19.7,35.5,27.6,27.6,15.75,43.4,35.5,1333.25,1309.375,1337,1344.375,1347.375,1314.75,1346.75,1348
2009-02-17 01:03:45,19.9216,19.9596121212121,20.3651482758621,19.9873548387097,19.6078,19.7647,19.8355580645161,20.1216827586207,1,0.7,0,0.5,1,1,1,0,0,0,0,0,0,0,0,0,,-0.00189346344827586,-4.78534620689655,60.3103206896552,1.65483834482759,20.222,20.686,19.389,20.6505,20.174,18.224,21.413,19.8175,26.076,24.3545,28.7215,27.4955,27.902,28.155,24.549,28.7385,19.7,11.8,31.55,27.6,23.65,27.6,31.55,31.55,1345,1332.625,1338.25,1332.625,1347.375,1314.75,1346.75,1348
2009-02-17 01:08:45,19.9418322580645,19.8235375,20.5646966666667,20.0784,19.6078,19.7647,19.9216,20.0784,0.9,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,-0.001830348,-4.942933,65.1889766666667,1.49354626666667,20.317,20.567,19.3415,20.746,20.2575,18.247,21.449,19.603,25.958,24.436,28.7705,27.4145,27.8375,28.086,24.5515,28.862,15.75,15.75,31.55,31.55,27.6,15.75,43.4,31.55,1345,1332.625,1338.875,1332.625,1346.75,1339.5,1346.75,1348
2009-02-17 01:13:45,20.0784,19.8930727272727,20.7059,20.1593806451613,19.6078,19.7647,20.0196,19.9671225806452,0,1,0,0,1,1,0.5,0.7,0,0,0,0,0,0,0,0,,-0.001689552,-5.03702966666667,62.7312466666667,1.26852026666667,20.3765,20.543,19.2105,20.722,20.317,18.259,21.533,19.377,25.891,24.434,28.848,27.43,27.7535,28.087,24.4855,29.002,15.75,7.85,31.55,31.55,27.6,15.75,39.45,15.75,1333.25,1332,1338.25,1345,1348,1339.5,1358.5,1348
2009-02-17 01:18:45,20.0784,19.9924129032258,20.70067,20.2353,19.6619034482759,19.7647,20.0539,19.75424,0,0.6,0,0,1,1,0.1,1,0,0,0,0,0,0,0,0,,-0.00174781241379310,-5.11683137931035,67.5302827586207,1.48219831034483,20.2935,20.6505,19.0675,20.591,20.3885,18.271,21.604,19.1985,25.9385,24.3875,28.9595,27.5265,27.6705,28.0705,24.418,29.2685,23.65,15.75,39.45,23.65,23.65,23.65,35.5,31.55,1332.625,1321,1338.875,1356.75,1346.75,1314.75,1346.75,1348
2009-02-17 01:23:45,19.9634133333333,20.0784,20.6442607142857,20.1340741935484,19.75947,19.7647,19.9216,19.6078,0.7,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,-0.001900746,-5.18656333333333,73.8232,1.20260383333333,20.0315,20.746,18.8895,20.424,20.472,18.283,21.521,19.187,26.08,24.304,29.0505,27.602,27.5885,28.054,24.4305,29.3725,23.65,19.7,43.4,23.65,11.8,23.65,43.4,27.6,1332.625,1309.375,1338.25,1357.375,1347.375,1314.75,1358.5,1348
2009-02-17 01:28:45,19.7545774193548,19.9608,20.5540612903226,20.0480516129032,19.7647,19.7647,19.906890625,19.61826,1,0.7,0,0.1,1,1,1,1,0,0,0,0,0,0,0,0,,-0.001865547,-5.270488,62.37403,1.38909096666667,19.817,20.686,18.735,20.2575,20.519,18.295,21.425,19.3175,26.207,24.2825,29.143,27.7135,27.486,28.0375,24.478,29.278,27.6,19.7,31.55,27.6,27.6,23.65,35.5,27.6,1333.25,1308.125,1327.125,1345,1347.375,1327.125,1359.125,1348
